LOT,LOW,HIGH,DESCRIPT,TYPESET,FOOTNOTE,CROSSHEAD,REFNO
355,1500,2500,BARBARA KRUGER Untitled (Surveillance is your Busywork).,"BARBARA KRUGER
Untitled (Surveillance is your Busywork).

Color lithograph, 1983. 280x710; 11x28 inches (sheet), full margins.An unused New York Subway placard poster for the project on U.S. public transportation enacted by Kruger in the 1980s.",,,776205
356,1000,1500,KIKI SMITH Self Portrait as an Old Woman.,"KIKI SMITH
Self Portrait as an Old Woman.

Color etching on Arches, 1993. 447x605 mm; 17x23¾ inches, full margins. Signed, dated and numbered 6/10 in pencil, lower margin. A very good impression.",,,775807
357,1500,2500,KIKI SMITH For David Wojnarowicz (Alliance for the Arts).,"KIKI SMITH
For David Wojnarowicz (Alliance for the Arts).

Color etching, drypoint and aquatint on wove paper, 2000. 595x490 mm; 23x19 inches, full margins. Signed, dated and numbered 63/75 in pencil, lower margin. Printed by Burnet Editions, New York, with the blind stamp, lower right. A very good impression with strong colors.",,,775711
358,1500,2500,JENNIFER BARTLETT The Elements.,"JENNIFER BARTLETT
The Elements.

Two (of 4) color etchings with soft-ground etching and aquatint on white wove paper, 1992. 790x795 mm; 31x31¼ inches, full margins. Earth, signed, dated, inscribed ""4 of 4"" and numbered 29/80 in pencil, lower margin * Fire, initialed, inscribed ""3 of 4"" and numbered 28/80 in pencil, lower right. Printed by Branstead Studio, New York with the blind stamp lower right. Published by Creative Works Editions, Osaka. Very good impressions with strong colors. Orlando Museum 23 and 25.",,,775271
359,2000,3000,"MEL BOCHNER ""Blah Blah Blah"" (+ Background Noise).","MEL BOCHNER
""Blah Blah Blah"" (+ Background Noise).

Color screenprint, double-sided, 2013. 380x380 mm; 15x15 inches (sheet), full margins. Signed, dated and numbered 27/100 in pencil, lower right. Published by Whitechapel Gallery Limited Editions, London. A very good impression with strong colors.",,,774630
360,50000,80000,MEL BOCHNER Irascible.,"MEL BOCHNER
Irascible.

Oil on black velvet, 2006. 910x1150 mm; 36x45½ inches. Signed, titled and dated in felt-tip pen and black ink, on the stretcher. With the artist's work identification number ""MB 2214"" in ink and pencil, on the stretcher.Ex-collection Barbara Davis Gallery, Houston, with the label.",,,776171
361,1200,1800,FRANCESCO CLEMENTE Self Portrait.,"FRANCESCO CLEMENTE
Self Portrait.

Color photolithograph on heavy handmade paper, 1994. 497x710 mm; 19x27 inches, full margins. Signed and numbered 9/30 in pencil, lower right. Published by Friends of the Philadelphia Museum. A very good impression with strong colors.",,,775804
362,1200,1800,"FRANCESCO CLEMENTE Yellow, Red or Blue.","FRANCESCO CLEMENTE
Yellow, Red or Blue.

Color aquatint on Fabriano paper, 1999. 500x490 mm; 19¾x19¼ inches, full margins. Signed and numbered 86/250 in pencil, lower margin. Printed by Vigna Antoniana, Stamperia d'Arte, Rome, with the blind stamp, lower left. Published by the Solomon R. Guggenheim Museum, New York, for their Print Collectors Club. A very good impression.",,,773230
363,3000,5000,MARLENE DUMAS De Muze is moe.,"MARLENE DUMAS
De Muze is moe.

Color screenprint on Rives BFK, 1994. 900x630 mm; 35½x25 inches (sheet), full margins. One of 25 numbered artist's proofs, aside from the edition of 100. Signed, dated, inscribed ""AP"" and numbered 10/25 in pencil, lower margin. Printed and published by Zeger Reijers, Rotterdam. From Tien jaar later. A very good impression.De Muze is moe (or The Muse is Exhausted) is an amended version of a poem from a lecture by Dumas (born 1953) in the series ""De muze is uitgeput,"" presented on October 16, 1990 in Amsterdam; and published in Dumas, Sweet Nothings, Notes and Texts, Amsterdam, 1998.",,,776651
364,1200,1800,LISA YUSKAVAGE Untitled.,"LISA YUSKAVAGE
Untitled.

Monotype on heavy cream handmade paper, 1990. 233x230 mm; 9¼x9 inches, full margins. Signed and dated in pencil, lower right. A very good, richly-inked impression.",,,776240
365,2000,3000,ZAHA HADID Solid.,"ZAHA HADID
Solid.

Vacuum-cast opaque acrylic sculpture, 2005. 51x368x67 mm; 2x14½x2 inches. Edition of 250. With the artist's incised signature and numbered 76/250. Published by the Deutsche Guggenheim Museum, Berlin, on the occasion of the 25 Jahre Sammlung Deutsche Bank, April 30-June 19, 2005. With the original plastic box and packaging.Hadid (1950-2016) was one of the foremost figures in recent architecture. Inspired by Russian Constructivism, the Iraqi-born British architect designed buildings with groundbreaking futuristic forms. Hadid's artwork proved a theoretical testing ground for her sweeping architectural designs and geometric inventions, which were at times unrealized due to their lofty concepts. The current lot emulates Hadid's design for the Deutsche Guggenheim exhibition, in which spheres pass through a square and create new perspectives for the viewer.",,,776437
366,1500,2500,JEFF KOONS Dolphin Saddle.,"JEFF KOONS
Dolphin Saddle.

Color lithograph on white wove paper, 2009. 813x628 mm; 32x24¾ inches (sheet), full margins. Signed, dated and numbered 3/50 in pencil, lower margin.",,,776525
367,7000,10000,JEFF KOONS Balloon Dog (Red).,"JEFF KOONS
Balloon Dog (Red).

Metallic porcelain multiple, 1995. 255x255 mm; 10x10 inches. Edition of 2300. Numbered 780/2300 on the base. Produced by Bernardaud, Limoges. Published by the Los Angeles County Museum of Contemporary Art, with the label verso. With the original printed cardboard packaging box.",,,776230
368,7000,10000,JEFF KOONS Balloon Dog (Yellow).,"JEFF KOONS
Balloon Dog (Yellow).

Metallic porcelain multiple, 2015. 255x255 mm; 10x10 inches. Edition of 2300. Numbered 836/2300 on the base. With the original printed booklet numbered 836/2300 in ink on the justification page. Produced by Bernardaud, Limoges. Published by the Los Angeles County Museum of Contemporary Art, with the label verso. With the original plastic stand and packaging.",,,776407
369,1000,1500,WILLIAM WEGMAN Royal Flush: Jokers.,"WILLIAM WEGMAN
Royal Flush: Jokers.

Two color photolithographs, 1998. 436x330 mm; 17¼x12 inches, full margins. Both signed and numbered 15/40 in pencil, lower margin. Published by Segura Publishing Company, Tempe, Arizona. Very good impressions.",,,775679
370,1500,2500,WILLIAM WEGMAN Royal Flush: Hearts.,"WILLIAM WEGMAN
Royal Flush: Hearts.

Suite of 5 color photolithographs, 1998. 438x328 mm; 17¼x13 inches, full margins. Each signed and numbered 18/40 in pencil, lower margin. Published by Segura Publishing Company, Tempe, Arizona. Very good impressions.",,,775680
371,1200,1800,ROBERT LONGO Three Strikes and You're Out.,"ROBERT LONGO
Three Strikes and You're Out.

Triptych with 2 aluminum plates with C-print and color screenprint and one lead plate with color screenprint, 1990. 250x600 mm; 9x23 inches (size overall). Signed and numbered 141/200 in felt-tip pen and black ink on one of the panels, verso. Published by Bébert, Rotterdam. From Contemporary Archeology, Pandora Part Three. With the original printed instruction sheet.",,,776085
372,1000,1500,FRED TOMASELLI 562 Eyes in Self-Surveillance.,"FRED TOMASELLI
562 Eyes in Self-Surveillance.

Color etching and aquatint, 1998. 582x735 mm; 23x29 inches, full margins. Signed, dated and numbered 1/40 in pencil, lower margin. Published by Riverhouse Editions, Steamboat Springs, Colorado, with the blind stamp lower right. A very good impression.",,,775279
373,1000,1500,FRED TOMASELLI Phrase Book by Rick Moody.,"FRED TOMASELLI
Phrase Book by Rick Moody.

Bound volume with complete text, color etching, 3 color relief prints and 5 offset color lithographs (one double-page), 2000. 330x250 mm; 13x9 inches (sheets), full margins.One of 150 numbered copies. Signed by the artist and author and numbered 128/150 in pencil, on the justification page. Printed by Harlan and Weaver, New York, and The Grenfall Press, New York. Published by the Whitney Museum of American Art, New York.The original decorative laminated portfolio box was designed by the artist.",,,775276
374,1500,2500,TAKASHI MURAKAMI Panda Family * Panda Family- Happiness.,"TAKASHI MURAKAMI
Panda Family * Panda Family- Happiness.

Two color offset lithographs, 2014-16. Both 500x500 mm; 19¾x19¾ inches (sheet), full margins. Both an edition of 300. Both signed and numbered in silver metallic ink, lower right. Printed and published by Kaikai Kiki, Tokyo, with the copyright, lower center.",,,764632
375,1500,2500,TAKASHI MURAKAMI Three color offset lithographs.,"TAKASHI MURAKAMI
Three color offset lithographs.

MG 1960-2012, 2012 * Blue Flower and Skulls, 2012 * Skulls and Flowers Red, 2012. Each 685x530 mm; 27x20 inches (sheet), full margins. Each an edition of 300. Each signed and numbered in silver metallic ink, lower right. Printed and published by Kaikai Kiki, Tokyo, with the copyright, lower center.",,,764640
376,2000,3000,TAKASHI MURAKAMI Three color offset lithographs.,"TAKASHI MURAKAMI
Three color offset lithographs.

Flowerball: Bright Red, 2017 * Hold Me Tight, 2016 * Cosmic Power, 2016. Each 708x708 mm; 28x28 inches (sheet), full margins. Each an edition of 300. Each signed and numbered in silver ink, lower right. Each printed and published by Kaikai Kiki, Tokyo, with the copyright lower center.",,,764629
377,3000,5000,TAKASHI MURAKAMI We Are the Jocular Clan.,"TAKASHI MURAKAMI
We Are the Jocular Clan.

Set of 10 color offset lithographs, 2018. 498x498 mm; 19 inches (sheet), full margins. Each an edition of 300. Each signed and numbered in ink, lower right. Printed and published by Kaikai Kiki, Tokyo, with the copyright lower center.",,,764637
378,4000,6000,TAKASHI MURAKAMI Three color offset lithographs.,"TAKASHI MURAKAMI
Three color offset lithographs.

Doraemon in the Field of Flowers, 2019 * Doraemon's Daily Life, 2019 * Mr. Fujiko F. Frujio and Doraemon Are in the Field of Flowers, 2019. Each 580x510 mm; 23x20 inches (sheet), full margins. Each an edition of 300. Each signed, dated and numbered in pencil, lower center. Each printed and published by Kaikai Kiki, Tokyo.",,,764636
379,3000,5000,TAKASHI MURAKAMI Two DOB-kun Figures (Magenta and Blue).,"TAKASHI MURAKAMI
Two DOB-kun Figures (Magenta and Blue).

Articulated soft vinyl sculptures, 2019. Each 230 mm; 9 inches (height). Produced and manufactured by Kaikai Kiki Co., Ltd., Tokyo, with the stamp under the right feet. Published by The Museum of Modern Art, New York, with the stamp and date under the left feet. With the original printed boxes.",,,770297
380,1500,2500,TAKASHI MURAKAMI Oval (Peter Norton Christmas Project).,"TAKASHI MURAKAMI
Oval (Peter Norton Christmas Project).

Colored plastic, vinyl, mini CD, 2000. 255 mm; 10 inches (height). Edition of 3000. Signed with molded manufacturer's mark on underside. Produced and published by CUBE Peter Norton Family Christmas Project, Santa Monica. With the original printed packaging.",,,776905
381,1000,1500,YOSHITOMO NARA PupCup.,"YOSHITOMO NARA
PupCup.

Injection molded and rotomolded plastic multiple with electronic moving parts, 2003. 229x178x178 mm; 9x7x7 inches. Molded manufacturer's mark to underside ""Yoshitomo Nara 2003 Bozart TM Made in China."" With the original printed plastic packaging.",,,776229
382,2000,3000,DAMIEN HIRST Manganese Chloride.,"DAMIEN HIRST
Manganese Chloride.

Color woodcut on white wove paper, 2011. 130x130 mm; 5¼x5¼ inches (sheet), full margins. Edition of 55. Signed in pencil, lower center. Published by Paragon Press, London. From 40 Woodcut Spots. A very good impression with strong colors.",,,776191
383,4000,6000,GEORGE CONDO Untitled (Mental States Playing Card Drawing).,"GEORGE CONDO
Untitled (Mental States Playing Card Drawing).

Pen and purple ink and wash on card, 2011. 88x63 mm; 3½x2½ inches. Signed and dated in ink, upper left recto. Within a box set and with one pack of playing cards, as issued. Published for the exhibition ""George Condo: Mental States"" at Hayward Gallery, London, October 18, 2011-January 8, 2012. Ex-collection Sprueth Magers, London and Berlin, with the label; private collection, Pennsylvania.",,,776782
384,4000,6000,GEORGE CONDO Untitled (Mental States Playing Card Drawing).,"GEORGE CONDO
Untitled (Mental States Playing Card Drawing).

Pen and black ink on card, 2011. 88x63 mm; 3½x2½ inches. Signed and dated in ink, upper left recto. Within a box set and with one pack of playing cards, as issued. Published for the exhibition ""George Condo: Mental States"" at Hayward Gallery, London, October 18, 2011-January 8, 2012.Ex-collection Sprueth Magers, London and Berlin, with the label; private collection, Pennsylvania.",,,776329
385,20000,30000,JOYCE PENSATO Homer.,"JOYCE PENSATO
Homer.

Acrylic on canvas, 2009. 1015x810 mm; 40x32 inches. Signed and dated in black felt-tip marker and ink, verso.Ex-collection private collection, California.Born in Brooklyn, Pensato (1941–2019) studied at the New York Studio School. She is known for her large-scale paintings that draw from popular culture, mostly cartoons. She depicted characters from the Simpsons, Disney classic cartoons, and others with bold gestural strokes drawing on both Pop Art and Abstract Expressionism. Her work is included in numerous permanent collections, including the Whitney Museum of American Art, New York and The Museum of Modern Art, New York.",,,775258
386,1500,2500,PETER DOIG Black Palm.,"PETER DOIG
Black Palm.

Color aquatint and etching on Zerkall paper, 2004. 147x195 mm; 5x7 inches, full margins. Edition of 199. Signed and dated in pencil, lower right. Proofed by the artist and Fritze Margull, Port of Spain, Trinidad. Printed by Fritze Margull, Berlin. Published by Griffelkunst, Hamburg. From Black Palms. A superb impression with strong colors.According to the artist, the Black Palms series (see lot 387), ""Came about whilst working with the printer Fritze Margull. He came down to Port of Spain, Trinidad where I have set up house and studio. We built a small make shift studio in the corner of a large warehouse space--we had a small table top press that we used to proof the plates with. The images for the etchings for the most part are relatively new ones for me although I have made some drawings, and water colours using similar imagery. I am in the process of using the images to make larger scale paintings now. I have found that making etchings prior to making paintings is a useful way to familiarize myself with the subject and imagery,"" (Griffelkunst website). Doig notes that the compositions for many of the images were actually derived from a set of old postcards he'd bought in London showing various Indian scenes, which he in turn combined with his Trinidad experiences. In the case of Pelican, ""The figure dragging the dead pelican was dragging a fishing net in the Indian post card--I saw a man killing and dragging a pelican along a beach here [Trinidad]; dinner,"" (Griffelkunst website).",,,776728
